top - 17:30:43 up  3:02,  2 users,  load average: 0.00, 0.04, 0.05
Tasks: 480 total,   1 running, 476 sleeping,   2 stopped,   1 zombie
%Cpu(s):  1.2 us,  0.6 sy,  0.1 ni, 97.3 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   2035884 total,  1027580 used,  1008304 free,    78016 buffers
KiB Swap:  2094076 total,        0 used,  2094076 free.   356908 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
   118 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/110
   119 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/111
   120 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/112
   121 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/113
   122 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/114
   123 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/115
   124 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/116
   125 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/117
   126 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/118
   127 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/119
   128 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/120
   129 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/121
   130 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/122
   131 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/123
   132 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/124
   133 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/125
   134 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/126
   135 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/127
   136 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcu_bh
   137 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/0
   138 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/1
   139 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/2
   140 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/3
   141 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/4
   142 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/5
   143 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/6
   144 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/7
   145 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/8
   146 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/9
   147 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/10
   148 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/11
   149 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/12
   150 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/13
   151 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/14
   152 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/15
   153 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/16
   154 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/17
   155 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/18
   156 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/19
   157 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/20
   158 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/21
